@relation treasury
@attribute 1Y-CMaturityRate real [77.055,142.645]
@attribute 30Y-CMortgageRate real [3.02,17.15]
@attribute 3M-Rate-AuctionAverage real [6.49,18.63]
@attribute 3M-Rate-SecondaryMarket real [2.67,16.75]
@attribute 3Y-CMaturityRate real [2.69,16.76]
@attribute 5Y-CMaturityRate real [4.09,16.47]
@attribute bankCredit real [4.17,16.13]
@attribute currency real [1130.9,4809.2]
@attribute demandDeposits real [105.6,533]
@attribute federalFunds real [225.8,412.1]
@attribute moneyStock real [2.86,20.06]
@attribute checkableDeposits real [381.1,1154.1]
@attribute loansLeases real [269.9,803.4]
@attribute savingsDeposits real [868.1,3550.3]
@attribute tradeCurrencies real [175.6,1758.1]
@attribute 1MonthCDRate real [3.02,20.76]
@inputs 1Y-CMaturityRate, 30Y-CMortgageRate, 3M-Rate-AuctionAverage, 3M-Rate-SecondaryMarket, 3Y-CMaturityRate, 5Y-CMaturityRate, bankCredit, currency, demandDeposits, federalFunds, moneyStock, checkableDeposits, loansLeases, savingsDeposits, tradeCurrencies
@outputs 1MonthCDRate
@data
134.74,7.85,12.27,7.21,7.03,9.06,9.6,1820.6,161.7,252,7.62,582.5,414.9,1398.5,765.8,7.45
92.769,4.59,6.83,4.52,4.44,4.6,4.59,4538.2,461.7,381.4,4.48,1109,639,3311.8,1595.3,5.29
85.77,5.36,8.82,5.04,5.01,6.23,6.85,2825.6,264.1,282.1,5.19,876.4,604.6,2108.9,1017.8,5.21
87.515,4.32,8.85,3.69,3.68,6.02,6.89,2894.5,274.3,313.3,3.47,946.1,664.7,2119.7,1117.7,3.93
88.293,6.59,9.84,5.63,5.65,7.34,7.67,2278.7,199,287.4,6.38,757.1,552,1741.5,936.7,6.49
81.772,7.35,10.09,7.07,7.08,7.81,8.13,2744.9,245.4,277.1,7.97,821.9,569,2109.5,922.3,7.93
95.375,5.39,7.17,5.04,4.97,5.56,5.59,4222.7,434.2,390.4,5.47,1085.8,643.6,3113.1,1458.6,5.56
78.151,5.66,7.55,5.57,5.48,5.83,5.96,3507.7,367.5,384.4,6.02,1144.9,767.7,2524.3,1096.9,5.98
116.536,8.64,12.71,8.04,8.03,9.43,9.77,1467.1,138.5,235.8,8.8,497.2,354.6,1096.7,673.5,8.32
95.905,5.22,6.99,4.98,5.02,5.36,5.45,4171.7,428,391.7,5.53,1072,636,3054.1,1415.8,5.51
131.236,11.39,14.18,10.23,10.19,12.26,12.46,1701.2,154.7,239.6,11.2,542.4,382.7,1297.4,686.5,10.85
92.699,8.89,10.69,8.21,8.3,8.9,8.86,2498.6,216.5,277.9,9.75,772.7,549.7,1934.7,858.5,9.52
120.386,7.91,11.9,7.21,7.25,9,9.38,1883.4,167.1,259.7,8.3,608.9,436.6,1447.4,808.6,7.8
125.879,12.17,14.66,10.01,9.92,13.38,13.67,1669.1,152.3,241.3,10.91,541,382.7,1265.1,699.9,11.41
95.663,5.46,7.19,5.01,5.01,5.64,5.67,4235.3,435.8,387.9,5.49,1076.3,632.4,3116.7,1478.3,5.56
90.688,8.14,10.23,7.72,7.76,8.44,8.44,2640.4,227.1,279,8.27,801.3,567.6,2035.8,906.5,8.22
92.767,6.12,8.18,5.24,5.26,6.48,6.56,4794.8,524.7,345.6,5.62,1120.6,587.7,3532.6,1737.8,5.72
83.49,6.63,9.25,5.4,5.31,7.5,7.74,3302.6,353,383.3,5.53,1149,787.8,2355.7,1163.8,5.55
81.679,6.22,9.03,5.07,5.01,7.16,7.53,3287.4,351.7,383.1,4.72,1146.4,786.3,2331.3,1175.3,4.94
104.756,5.89,9.81,5.41,5.41,6.55,6.85,2068.7,179.5,290.6,5.98,704.4,519.4,1569.9,933.2,5.82
119.312,10.79,13.55,9.76,9.72,11.8,12.2,1624,149.4,241,9.97,531.4,377.7,1212.6,709,10.18
89.421,3.52,6.99,3.02,2.97,4.43,5.03,3152,325.1,387.9,2.98,1131.7,799.2,2204.5,1226.7,3.07
107.696,14.85,17.56,13.85,13.68,14.84,14.73,1338,123.8,231,14.77,440.9,313.4,1023,346.2,14.88
107.704,15.34,16.74,14.56,14.56,14.86,14.53,1274.1,119.6,233.7,18.76,428.4,303.8,963.8,360.2,17.72
91.768,5.44,7.23,5.16,5.16,5.76,5.81,4076,421.4,391.5,5.5,1065.4,635.8,2999.3,1386.4,5.6
78.424,5.64,7.6,5.46,5.43,5.97,6.11,3534.5,368.1,386.1,5.72,1144.8,766.3,2551,1099.9,5.76
114.363,8.67,12.98,7.89,7.91,9.66,9.95,1438.2,135.7,235.3,8.47,487.4,347.8,1085.8,619.3,8.27
86.13,5.39,8.91,5.04,5.01,6.3,6.96,2829.6,264.7,283.6,5.24,881.7,609.5,2107.3,1024,5.23
136.077,8.92,13.07,7.87,7.78,10.32,10.85,1800.1,159.9,249.6,8.35,571.7,407.1,1383.5,748.9,8.17
92.667,8.34,10.22,7.85,7.85,8.63,8.57,2651.3,228.9,277.1,8.26,802.8,567.3,2045.2,911.3,8.31
91.475,7.73,9.76,7.55,7.61,7.77,7.74,2609.2,221.8,277.5,8.52,789.6,561.7,2024.7,892.1,8.55
88.419,5.7,9.14,5.34,5.32,6.66,7.3,2801.1,261.8,280.7,5.6,873.1,602.9,2103.2,1004.2,5.61
94.934,5.42,7.09,5.14,5.16,5.55,5.6,4195.4,431.1,394.1,5.51,1082.1,643,3081,1437.4,5.55
84.402,7.1,9.15,5.83,5.7,7.64,7.74,3317.1,353.9,384.4,5.47,1153.2,791.2,2377,1150.6,6.04
93.745,13.51,14,12.33,12.51,12.82,12.62,1199.5,114.2,264.8,13.17,409,291.2,905.3,420.5,13.34
108.186,16.93,18.22,15.61,15.14,16.42,16.07,1286.6,120.2,232.4,16.5,429.6,304.8,976.8,348.8,17.27
89.317,7.24,10.66,5.81,5.86,8.21,8.54,2250.3,196.4,287.8,6.84,748.9,546.7,1719,936.5,7.88
117.96,10.67,15.19,7.85,7.53,11.96,12.11,1403.2,130,228.4,10.31,457.2,322.5,1077.1,346.9,10.21
92.472,8.23,12.35,7.08,7.42,8.96,9.23,1150.8,110,256.7,9.08,392.2,277.9,873.3,182.9,8.43
103.17,6.16,10.4,5.7,5.71,6.75,7.06,2027.3,175.5,283.9,6.36,678.1,494.7,1541.4,891.2,6.21
81.679,5.43,7.35,5.43,5.38,5.58,5.71,3592.6,371.9,392.2,5.74,1135,754.4,2605.3,1124.3,5.75
84.763,7.12,9.19,5.87,5.66,7.73,7.8,3339.1,357.2,385.6,5.53,1153.5,788.2,2397.5,1133.8,5.73
86.414,3.31,7.57,2.92,2.91,4.38,5.21,2988.2,300.6,348.1,3.11,1045.1,736.9,2114.5,1188.2,3.1
111.463,16.56,17.13,15.67,15.43,15.88,15.45,1283,120.1,234.4,18.25,430.1,304.8,971.7,355.7,18.02
92.668,5.54,7.46,5.08,5.12,6.01,6.12,3992.4,413.9,401.9,5.59,1073,649.9,2958.6,1350.8,5.53
84.671,4.61,8.62,4.39,4.32,5.63,6.34,2848.8,267.5,289.1,4.79,894.8,620.3,2109.4,1038.5,5.04
120.228,10.27,13.78,9.18,9.15,11.03,11.34,1517,141.6,238.6,9.41,511.5,364.5,1129.7,682.2,9.34
108.372,16.36,16.88,15.56,15.5,15.61,15.17,1274.8,119.6,232.6,19.05,427.3,302.6,964.9,358.7,18.26
92.204,4.47,6.69,4.39,4.37,4.41,4.36,4555.1,459.6,379.8,4.97,1096.9,629.1,3330.8,1597.9,5.51
89.699,7.78,9.8,7.57,7.53,7.95,7.94,2613.3,224.3,279.2,8.22,796.1,565.6,2022.9,900,8.16
87.875,4.28,7.63,3.52,3.52,5.32,5.85,3170.6,331.2,388.4,3.25,1140.4,801.5,2217.2,1228.7,3.54
87.174,3.32,7.53,2.96,2.91,4.43,5.25,2982.3,300.3,345.6,3.18,1043.9,736,2108.1,1185.6,3.11
122.595,7.96,12.17,7.07,7.01,9.25,9.71,1868.2,165.7,261.7,8.12,606.5,435,1438.3,799.4,7.82
86.966,9.07,10.77,8.22,8.16,9.2,9.18,2432.5,212.6,286.6,8.86,786.5,567.8,1870.3,925.5,9.36
85.392,3.55,7.5,3.06,3.06,4.6,5.36,2999.6,305.3,359.6,3.07,1071,757.7,2126.8,1201.7,3.1
91.528,5.52,7.34,4.98,4.94,5.91,6.01,4029.5,418.3,389.7,5.45,1062,635.1,2989.7,1380,5.54
88.463,9.4,10.91,8.73,8.67,9.43,9.42,2470.9,214.2,285.7,9.8,786.3,565.7,1911.5,895.7,9.82
88.032,4.7,8.26,3.63,3.57,5.91,6.47,3194.5,333.7,386.1,3.37,1139.3,797.9,2227.8,1220.3,3.66
92.367,11.65,13.25,10.64,10.26,11.74,11.68,1178.7,112.6,264.3,10.64,406.2,289.3,888.8,192.9,10.91
90.021,9.22,11.02,8.66,8.53,9.26,9.16,2485.4,216,281.5,9.86,781.8,559.6,1923.5,871.2,9.75
122.503,8.01,12.13,7.2,7.2,9.25,9.7,1867,166.3,261.8,8.03,608.5,436.7,1436.9,804.2,7.88
122.661,9.91,13.4,8.92,8.88,10.98,11.42,1584.7,147.4,241.1,9.53,525.6,374.1,1176.6,684.9,9.35
93.23,5.69,7.84,5.05,5.09,6,6.03,4754.5,512.4,351.9,5.45,1112.4,591.9,3494.7,1742.9,6.39
86.427,6.41,9.59,5.83,5.87,7.42,7.85,2780,256.3,275.2,6.1,840.1,576.7,2122.2,948.5,6.36
115.901,8.98,13.06,8.12,8.16,10,10.38,1440.1,134.5,234.2,8.53,481.8,343.7,1090.2,582.7,8.46
128.031,11.8,14.54,10.55,10.48,12.44,12.63,1676,153.4,242.1,11.59,542.7,383,1272,689.2,11.29
84.311,4.81,6.94,4.8,4.79,4.94,5.2,3646.9,372.3,398.1,5.09,1117,736.3,2651.9,1164.9,5.22
91.826,5.45,7.31,4.93,4.92,5.84,5.94,4021.6,417,393.6,5.58,1069.2,643.4,2971.9,1369.5,5.56
115.559,9.06,13.06,8.25,8.22,10.06,10.45,1436.9,134.5,234.1,8.5,482.8,344.7,1086.8,597.4,8.45
88.559,5.74,9.15,5.4,5.34,6.7,7.35,2798.4,261.9,279.9,5.58,869.9,599.5,2106.4,1003.4,5.63
120.921,10.1,13.38,9,8.97,11.1,11.52,1567.8,145.9,239.2,9.49,521,371.1,1166,681.4,9.41
85.059,3.61,7.48,3.14,3.1,4.65,5.32,3023.7,306.2,360.7,2.96,1073.6,759.1,2137.9,1206.5,3.16
83.595,6.78,9.56,6.52,6.47,7.34,7.62,2749.8,248.4,276,7.17,827.1,571.6,2117.6,926.1,7.39
94.56,7.7,11.02,5.5,6.48,8.71,8.97,2238.2,191.9,290.6,7.26,750.1,551,1706.5,953.5,7.35
97.989,6.05,9.09,5.72,5.75,6.65,6.88,2134.1,183.5,295.5,6.14,729.6,540.6,1621.8,952.7,6.14
92.034,8.56,10.67,7.91,7.85,9.01,9.01,2671,230.9,274.3,8.12,803.1,565.5,2057.3,911.3,8.38
82.986,5.85,8.73,4.61,4.71,6.78,7.17,3275.8,348.2,387.2,4.73,1152.6,795.4,2314.7,1189.9,4.88
94.47,8.33,11.58,6.96,6.98,9.43,9.73,2229.8,193.1,293.9,7.59,754.8,555.1,1704,950.7,7.81
88.96,8.09,10.11,7.81,7.73,8.39,8.43,2695.6,235.8,276.3,8.28,812.9,568.3,2073,917.5,8.24
86.603,6.92,10.19,5.98,5.89,7.75,8.12,2311.6,201.7,288,6.81,766.5,558.4,1767.9,948.2,6.77
97.294,5.99,9.03,5.58,5.55,6.53,6.76,2147.9,184.3,294.4,6.08,733.3,543.1,1633.7,963.8,6.17
89.062,3.47,8,3.03,2.99,4.91,5.82,2957.5,295,340.5,3.1,1031.5,729,2113.5,1187.5,3.12
94.469,11.92,12.87,11.9,11.91,10.78,10.64,1136.7,106,258.1,13.91,384.4,275.3,872.4,191.6,13.21
82.045,5.81,7.88,5.43,5.41,6.15,6.28,3557.1,369.2,388.7,5.7,1143.3,763.9,2563.5,1107.9,5.77
112.946,8.56,13.12,7.62,7.75,9.55,9.92,1432.7,133.9,233.4,8.49,477.9,340.6,1087.6,541.7,8.12
86.707,6.26,9.47,5.57,5.63,7.21,7.7,2777.2,256.3,274.6,5.69,842,578.7,2118.9,958.6,5.97
83.892,4.14,8.56,3.78,3.77,5.47,6.32,2866.9,269.6,300,3.87,918.1,641.3,2112.3,1071.7,4.06
99.25,4.91,6.82,4.8,4.76,4.84,4.92,4392.1,447.6,374,5.61,1074.9,618.7,3210.9,1536.8,5.55
95.257,6.73,10.44,5.7,5.65,7.68,7.87,2189.6,187.9,294.2,6.75,744.5,549.5,1667.6,967.4,6.81
104.279,5.77,9.5,5.35,5.39,6.39,6.66,2084.4,180.2,295.6,6,712.3,526.8,1579.9,937.1,5.84
103.352,16.63,16.64,16.43,16.75,15.36,14.88,1262.4,118.3,235.9,18.21,423.5,301.4,952.8,367,18.65
84.198,4.12,8.48,3.66,3.63,5.55,6.44,2900,276.9,313.6,3.73,955.5,670.5,2109.9,1134.9,3.81
102.314,5.8,10.1,5.25,5.24,6.71,6.99,2061.1,177.6,288,5.81,690.9,506.6,1560.5,911.4,5.81
87.706,3.55,7.12,3.11,3.1,4.48,5.04,3097,319.3,385,2.96,1125.7,798.8,2184.9,1217.3,3.1
93.454,8.38,10.16,7.72,7.84,8.42,8.32,2559.4,219.8,278.1,9.02,784.4,557.4,1994.3,870.9,8.9
98.385,5.34,6.91,4.96,4.94,5.44,5.41,4275.9,441.5,375.7,5.47,1071.7,621.1,3145,1504.9,5.56
95.842,4.61,6.64,4.64,4.53,4.51,4.48,4397.6,451.8,374.7,5.42,1077.4,616.9,3217.3,1544.7,5.48
89.138,5.53,7.74,5,4.99,6.03,6.2,3828.4,398,404,5.3,1079.5,673.2,2814.8,1286.7,5.32
133.947,7.66,12.05,6.73,6.81,8.9,9.5,1829.6,161.9,253.7,7.13,585.4,417.3,1403.4,770.1,7.22
88.515,8.96,10.71,8.3,8.24,9.14,9.09,2439.5,213.2,285.2,9.13,785.5,566.1,1877.5,916.1,9.06
89.933,7.85,10.49,6.88,6.93,8.56,8.74,2373,206.9,290.7,7.8,786.7,570.9,1816.9,957.5,7.82
93.566,6.73,10.97,5.12,5.17,8.01,8.38,2248.8,194.7,295.3,7.03,757.3,556.4,1719.6,945.6,6.96
116.343,8.83,12.73,8.15,8.11,9.68,9.95,1465,138.1,235.8,8.58,495.6,353.5,1095.6,670.7,8.39
83.236,7.24,9.81,7.06,6.99,7.57,7.8,2749.6,246.6,275.1,7.6,822.3,568.7,2117.4,923.3,8.22
96.71,8.45,10.04,8.13,8.14,8.38,8.3,2503.1,217.4,276.2,9.35,773.6,548.8,1941.9,858,9.27
86.849,4.25,8.75,3.65,3.63,5.92,6.78,2891.6,274.7,313.7,3.77,949.2,667.4,2110.7,1125.1,3.8
