@relation treasury
@attribute 1Y-CMaturityRate real [77.055,142.645]
@attribute 30Y-CMortgageRate real [3.02,17.15]
@attribute 3M-Rate-AuctionAverage real [6.49,18.63]
@attribute 3M-Rate-SecondaryMarket real [2.67,16.75]
@attribute 3Y-CMaturityRate real [2.69,16.76]
@attribute 5Y-CMaturityRate real [4.09,16.47]
@attribute bankCredit real [4.17,16.13]
@attribute currency real [1130.9,4809.2]
@attribute demandDeposits real [105.6,533]
@attribute federalFunds real [225.8,412.1]
@attribute moneyStock real [2.86,20.06]
@attribute checkableDeposits real [381.1,1154.1]
@attribute loansLeases real [269.9,803.4]
@attribute savingsDeposits real [868.1,3550.3]
@attribute tradeCurrencies real [175.6,1758.1]
@attribute 1MonthCDRate real [3.02,20.76]
@inputs 1Y-CMaturityRate, 30Y-CMortgageRate, 3M-Rate-AuctionAverage, 3M-Rate-SecondaryMarket, 3Y-CMaturityRate, 5Y-CMaturityRate, bankCredit, currency, demandDeposits, federalFunds, moneyStock, checkableDeposits, loansLeases, savingsDeposits, tradeCurrencies
@outputs 1MonthCDRate
@data
120.819,10.01,13.72,8.99,8.94,10.99,11.37,1526.1,143.1,239.2,9.48,514.6,366.5,1136,684.3,9.28
82.978,6.54,8.73,5.74,5.72,7.07,7.23,3362.1,359.3,384.4,5.94,1145.9,778.6,2427,1115.3,5.99
117.942,7.74,10.75,7.05,7.13,8.39,8.65,1946.7,168.4,264.8,8.2,618.9,445.7,1484.4,817.9,7.81
106.805,14.73,16.69,14.98,14.79,14.16,13.83,1268.8,118.7,234.9,19.33,425.5,302.7,957.2,360.5,17.61
88.66,5.62,7.88,5.06,5.04,6.17,6.36,3808.4,397.3,400.2,5.18,1079,673.4,2799.5,1283.7,5.34
85.777,9.1,10.71,7.98,8.09,9.17,9.16,2427.3,212.4,286.9,8.51,786,567.5,1864.8,927.7,9.42
88.334,5.72,9.19,5.3,5.29,6.77,7.4,2798.1,261.3,279.8,5.62,867.7,597.6,2106.1,1000.6,5.62
90.625,8.18,10.29,7.8,7.74,8.5,8.52,2667.8,233.1,274.3,8.19,807.6,567.3,2056.1,913.3,8.19
116.897,9.17,12.82,8.66,8.45,9.9,10.13,1457.3,137.1,235.3,9.43,493.3,352.2,1093.8,655.4,8.91
87.979,6.65,9.94,5.74,5.67,7.42,7.73,2280.2,198.9,287.2,6.77,755.9,551,1743.9,936.5,6.59
121.718,9.94,13.23,9.08,9.06,10.96,11.43,1596.5,148,240.5,9.58,526.5,374.4,1189.7,698.7,9.35
91.37,4.55,6.79,4.38,4.36,4.63,4.63,4543.7,461.8,372.8,4.3,1094.1,624.1,3326.7,1614.3,4.94
85.797,4.27,8.6,3.75,3.71,5.83,6.7,2882.3,275.4,313.2,3.8,952.4,669.5,2102.7,1126.9,3.86
86.662,7.59,10.58,6.53,6.45,8.34,8.61,2349,204.3,290.9,7.41,776.2,565.1,1800.8,953,7.38
