@relation treasury
@attribute 1Y-CMaturityRate real [77.055,142.645]
@attribute 30Y-CMortgageRate real [3.02,17.15]
@attribute 3M-Rate-AuctionAverage real [6.49,18.63]
@attribute 3M-Rate-SecondaryMarket real [2.67,16.75]
@attribute 3Y-CMaturityRate real [2.69,16.76]
@attribute 5Y-CMaturityRate real [4.09,16.47]
@attribute bankCredit real [4.17,16.13]
@attribute currency real [1130.9,4809.2]
@attribute demandDeposits real [105.6,533]
@attribute federalFunds real [225.8,412.1]
@attribute moneyStock real [2.86,20.06]
@attribute checkableDeposits real [381.1,1154.1]
@attribute loansLeases real [269.9,803.4]
@attribute savingsDeposits real [868.1,3550.3]
@attribute tradeCurrencies real [175.6,1758.1]
@attribute 1MonthCDRate real [3.02,20.76]
@inputs 1Y-CMaturityRate, 30Y-CMortgageRate, 3M-Rate-AuctionAverage, 3M-Rate-SecondaryMarket, 3Y-CMaturityRate, 5Y-CMaturityRate, bankCredit, currency, demandDeposits, federalFunds, moneyStock, checkableDeposits, loansLeases, savingsDeposits, tradeCurrencies
@outputs 1MonthCDRate
@data
91.431,8.01,10.4,7.21,7.18,8.52,8.64,2381.1,208.8,289.3,8.13,785.5,568.7,1829.1,942.7,8.1
93.636,9.71,12.55,8.72,8.6,10.18,10.47,1168.8,111.4,259.8,8.85,399.1,283.1,883.2,190.8,9.21
88.487,9.27,10.69,8.49,8.52,9.36,9.32,2471.7,213.7,282.6,9.27,782.9,562.9,1909.7,897.4,9.33
81.76,5.66,7.76,5.34,5.31,5.96,6.08,3558.2,369,386.8,5.71,1144,764.9,2564,1106.4,5.76
81.4,5.58,7.45,5.22,5.24,5.75,5.84,3587.4,371.4,390.7,5.76,1134.9,754.4,2593.1,1123.8,5.75
81.73,6.28,9.05,5.07,5.1,7.24,7.61,3293.5,352.2,383.9,4.77,1149.3,788.7,2337.6,1169.6,5.04
91.917,5.53,7.35,4.96,4.97,5.93,6.02,4043.1,418.8,388.9,5.54,1061.6,634.3,2990.3,1381.2,5.55
93.219,9.13,12.25,8.22,8.44,9.72,9.92,1159.6,111.4,261,8.98,399.9,283.6,876.4,189.5,8.82
93.095,5.65,7.75,5.11,5.12,6,6.03,4725.2,507.2,354.3,5.52,1110.5,595.2,3465.8,1740.6,5.56
84.258,4.85,7.02,4.88,4.81,5.03,5.27,3634.6,372.1,395.7,5.21,1116.9,736.4,2641.2,1159.4,5.24
