@relation treasury
@attribute 1Y-CMaturityRate real [77.055,142.645]
@attribute 30Y-CMortgageRate real [3.02,17.15]
@attribute 3M-Rate-AuctionAverage real [6.49,18.63]
@attribute 3M-Rate-SecondaryMarket real [2.67,16.75]
@attribute 3Y-CMaturityRate real [2.69,16.76]
@attribute 5Y-CMaturityRate real [4.09,16.47]
@attribute bankCredit real [4.17,16.13]
@attribute currency real [1130.9,4809.2]
@attribute demandDeposits real [105.6,533]
@attribute federalFunds real [225.8,412.1]
@attribute moneyStock real [2.86,20.06]
@attribute checkableDeposits real [381.1,1154.1]
@attribute loansLeases real [269.9,803.4]
@attribute savingsDeposits real [868.1,3550.3]
@attribute tradeCurrencies real [175.6,1758.1]
@attribute 1MonthCDRate real [3.02,20.76]
@inputs 1Y-CMaturityRate, 30Y-CMortgageRate, 3M-Rate-AuctionAverage, 3M-Rate-SecondaryMarket, 3Y-CMaturityRate, 5Y-CMaturityRate, bankCredit, currency, demandDeposits, federalFunds, moneyStock, checkableDeposits, loansLeases, savingsDeposits, tradeCurrencies
@outputs 1MonthCDRate
@data
90.076,9.28,10.99,8.57,8.55,9.35,9.25,2489.2,215.7,281,9.95,781.4,559.5,1926.1,876.7,9.77
121.69,10.09,13.43,8.94,8.96,11.1,11.54,1575.9,146.7,238.2,8.96,521.5,370.8,1174.4,683.2,9.77
95.831,5.36,7.15,5.05,5,5.57,5.58,4245.6,432.5,389.8,5.6,1083,642.4,3104.2,1451.3,5.58
107.641,6.54,10.62,6.09,6.07,7.14,7.33,2001.2,174.1,281,6.86,665.9,484.5,1530.3,874.7,6.76
127.025,7.95,12.18,7.14,7.07,9.18,9.67,1851.9,164.7,258.2,8.06,599.8,428.3,1424.4,788.5,7.75
121.009,9.03,13.91,7.81,7.78,9.96,10.34,1413.8,131.5,233.3,9.43,470.2,334.7,1082.3,361.3,8.87
86.825,3.55,7.21,3.1,3.06,4.53,5.19,3070.7,311.4,368.6,3.1,1093.5,772.9,2166,1208.7,3.1
127.899,12.03,14.66,10.17,10.11,13.06,13.23,1670.5,153,242.2,11.21,542.7,383.4,1267.1,697.1,11.25
91.23,8.13,10.38,7.23,7.25,8.48,8.57,2396.8,209.5,287.9,8.38,783.1,566.3,1843.7,936.9,8.12
104.108,6.25,10.4,5.72,5.78,6.82,7.01,2019.5,175,284.1,6.42,674.8,491.9,1536,885.3,6.33
83.743,4.44,8.53,4.21,4.16,5.46,6.25,2855.7,267.8,288.8,4.54,895.9,621.2,2113.7,1041.8,4.83
89.867,7.97,9.9,7.68,7.72,8.19,8.17,2616.1,224.4,278.4,8.2,794.9,564.2,2023.8,901.2,8.17
90.983,5.54,7.43,5.11,5.08,5.97,6.09,3975,411.4,397.3,5.43,1068,647,2933.7,1336.3,5.53
88.499,8.12,10.28,7.36,7.4,8.43,8.52,2401.2,210.1,286.7,8.27,783.5,566.5,1847.1,935,8.16
91.836,5.35,7.21,4.97,5.04,5.73,5.78,4048.9,419.5,394.7,5.5,1072.4,644.6,2990.7,1378.4,5.56
85.292,3.27,7.42,2.89,2.91,4.3,5.1,3003.9,304.3,357.9,2.9,1067.1,755,2126.8,1200.7,3.06
105.139,14.39,17.44,12.12,12.07,14.73,14.79,1328.4,123,233.3,12.42,442.3,315.7,1016,346.8,12.67
105.071,15.14,18.53,13.53,13.41,15.21,15.14,1296.8,120.5,231,14.93,429,304.4,984.3,343.3,14.76
129.95,11.61,14.43,10.39,10.38,12.34,12.55,1696.5,154.2,241,11.52,543.4,383.7,1290.8,685.8,11.31
78.927,5.98,7.83,5.71,5.69,6.25,6.4,3475.4,368.4,381.8,6.02,1145.2,767.7,2494.9,1089.9,5.98
107.512,15.27,16.79,14.4,14.82,14.76,14.48,1272.1,119.5,232.8,19.93,427,302.7,961.5,360.9,18.17
134.545,8.22,12.83,7.28,7.25,9.43,10.06,1809.1,160.7,252.5,7.91,577.6,411.9,1387.5,754.3,7.58
