x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,y
L,1.5438601403864258,32.15839304488877,-55.12291448660518,-3.0755221917073015,-25.958299567198196,-28.95184842181442,-52.38938599090469,-12.443622734828129,22.272673831081413,71.02741898574027,-3.907642598238236,0.779603130739124,12.407069702579733,true,22.010055329152763,-1.2237010621434758,way4,-0.7120032686080912,4.235139254724212,-129.91684377275112,13.55107895431489,1.6380032579525632,5.870477925392671,7.500233510706584,-79.97282384319398,1.7504258337673226,60.92588764982622,-19.8798726398497,-3.1453857982316604,3.707168767945984,6.835355075362143,14.386886392555754,-2.4376535912611415,13.920478446590472,1.8344717909491803,-1.0123504088126636,-0.07331187378833146,6.745866353185736,8.215734839247254,0.8714914789666073,94.06154345522233,64.46043131565213,-18.535790077360655,4.027021474038289,-70.44953099340009,36.54762525713758,-3.919036763692526,2.1678258303683857,2.354486576449629,1.944206179897865,no,-5.563242011250245,29.127367306573717,-1.2075475761481396,-4.77719157631776,10.077576103598096,-6.187096009050968,-4.440388409361209,-16.659282302640598,-0.16697421684968247,lab09,-7.122831991844447,active,29.445757195268936,11.232318725005605,-0.6967053805465815,-13.49229323257009,1.8478054548926075,5.3138393091990785,-10.278019190909896,43.62156803680532,23.283249186195057,0.05258074130395862,25.102787915123717,3
S,-5.513110520769183,-14.591415042562677,45.574225104394536,0.7711639812194558,-13.843327238073696,-14.289863634167476,3.0223675909115753,4.6432641911222206,-20.331842761216997,35.83854111183042,-5.557724078259141,0.5057214082099091,-4.639771173039752,true,-6.867288958661767,0.815351991945854,way3,0.47969572172524677,-5.829753316524419,48.83606654098309,-11.268415077626825,0.8711513559559273,-29.240134943222618,0.7450358798540847,-42.13060904516728,1.881002840631209,3.202756470634141,86.70466178990705,-3.8301924158753304,-6.191722135672465,10.144618691137847,-3.329397824875201,-3.1493704189865186,-3.9779743854659526,0.3640278986974577,4.2581260672027135,-1.9189161783244075,-4.107160940022617,-2.5720685759575765,-0.22514148084076838,-12.125165766665905,45.36635477429038,30.3275972848696,1.3176253069097943,-4.966443026369605,-15.037993143818705,-3.5105231577889415,-0.2794473339573663,2.673668826618581,5.414833792798186,yes,-9.958659303663264,2.4111035821355213,-24.42767320278454,-9.666603106511367,5.665388056319909,-4.8831608415252425,-1.4316242082593837,-1.2540964764754032,-1.0808429143018108,lab07,-42.46313391550942,active,29.542315175817695,17.56713415416895,13.788194003460415,16.238611267943924,-0.9080548706880014,7.05794588942755,14.120823516876106,-22.400321895894496,-26.918188299871858,-1.393942260654574,2.8645239198257615,3
M,5.611932812144375,-51.618266011788236,290.6740275636379,-0.8972662746123289,52.668473603217606,4.878464863364753,-4.222093237325437,-12.76050616220643,1.7242631825748331,-3.5998260604979873,58.36289422819889,-0.21497084888180001,-0.5994989181177904,false,-14.859105014856809,0.3780890366788165,way3,-0.3594465227241154,31.75809091814717,-36.387159405104335,-32.643539262571274,-19.414555292698665,2.517487485219584,5.976594708068095,-26.930721610610455,0.12945646227438717,31.749435450322153,169.405263230941,4.081024693415727,-7.384250216683333,16.03241120840857,-61.33679768436895,-2.8311050747718225,3.2987837728771647,0.6749949312505467,-6.5385289140483875,-6.036637108674482,-19.500961104762894,-19.69361197406635,-0.07838570679629853,110.23531828212589,-137.98003488341695,33.59977168450055,1.1048826295289256,75.6023718847759,-34.886327244752785,-14.291541167584572,2.540581002741403,-0.9701882086630724,0.5908792623287985,no,11.186356721198399,16.734745692376837,52.56743829420478,-0.6094765840805846,-5.351323691737135,-0.28012537438205776,8.616786098906418,209.85478475452638,-14.2442933787549,lab10,3.6842642192487283,active,25.93376319399401,-17.840594832665875,22.083830782626876,-35.62418784048558,3.723291950792616,9.67539705510277,6.553407400890224,7.235121701973634,68.87718568296567,-0.16799628544571524,-0.9981587115093643,1
VS,5.1857239669848,-18.53972574374323,33.433933023893395,-0.660480183960873,59.401137034022945,-3.9910579332574097,70.59530791441105,0.19968435857530345,-13.128981136231678,53.74309091326663,-16.431201247300546,0.4569202516534109,0.47682169536377217,true,25.346858846686064,-0.2742012738463719,way2,0.08031350942545464,4.060150480844928,104.06249287397337,-1.4595759871112692,-8.744646645441652,-44.08874859734578,-4.508032986716798,69.69768942893457,-1.3224891918867392,14.124987902326492,52.64014214288212,2.1163573600498067,-9.287447413255466,-4.079771252924145,18.05435429596287,-2.347469531940101,-10.632652082513237,2.870362748958525,-0.29674477806194205,1.3769181346130737,1.9622912430287038,-0.42750688867774955,0.4212487379645338,135.1046579504864,-36.414912885577564,-2.0094794622974224,2.578533752687651,-31.95330747340354,-4.538768049284241,-1.8701889399942517,3.1137418816391844,-2.5958748372818263,3.332685249544669,yes,-20.25885684810365,-22.441169092160532,14.899984926794367,-6.4717639090446655,6.8491490576756,-0.2724101777909681,0.1676573785331966,230.56897146727184,12.5438988229476,lab05,-110.99089790272448,active,-39.66824109760471,-41.81415797162368,3.420312098223028,-21.112423294117665,-2.075954458988634,0.4990095265784498,-19.327077473077345,29.08869574756839,-87.23575808653176,1.4931249015250714,-17.51468870678269,2
L,-17.00090551534489,41.76695865258281,-129.83715109915147,0.31075114255615355,-12.306977107196214,-88.78667853255524,-29.186555136002028,-2.7339766232872225,-6.039680775910806,10.642027195035693,5.432241785316443,-0.35835961170546377,-0.3690227403557915,true,3.586925545713284,-0.133100419666286,way3,-0.21473094121860165,-16.046211903867132,31.415841902888705,-11.721780360644386,-5.403663766284712,-2.661644092164358,-3.171812629377293,-56.89009305686468,-8.530290517888293,-44.36607884496399,-28.025047239818157,0.4431243275805564,0.08858770789593949,12.393828429575635,-7.4353405275911815,6.0148808255315585,15.340223400717324,0.8638285639007717,-8.16623156384031,-4.139099411411369,-3.215941226261498,-7.650954893095818,-0.13482378423991842,-19.03284123042361,38.71669599673568,5.904926063100697,-0.0076538557798497405,22.52767430659204,23.133069266786396,-2.8814640918027554,-0.438647754746384,-3.0352317967189495,1.100613497293113,yes,7.8007950660000125,-47.076558304524326,3.0990980417373075,2.576352371147219,-1.2502970540651897,-1.8281619846975188,-10.451356660835806,-17.855326175734277,9.126223052832364,lab09,-21.738827682316607,active,-39.21528367231841,-31.135681879449262,-5.91859325971474,15.970265394682736,3.4964547787362212,-6.432207181815321,-9.616389564367179,-42.52091669249855,77.78316781423496,1.7634430752663435,-1.8732425078399633,0
L,10.678450982403808,-6.182533116902895,-37.76319644392815,0.44580175341611983,-48.63878648469383,-21.52754859199552,-9.886659356283138,-5.305138959535172,-5.621280943590066,-28.01144001727353,13.38983413320564,-0.2590294247828927,8.985671558332948,false,11.913592651058226,-0.20243475253964327,way4,-1.3424502664808198,0.6376563783464526,-124.6952863520442,-0.9584353511737129,8.773036074773193,-18.450769204754984,2.743451041180246,20.474483686101767,3.3068391411287887,-5.254801415379235,-118.58068783468634,-1.587795966755199,-1.5058028586030763,3.02607182894156,9.34616637282982,5.742203185104488,0.7994013108993945,-2.4496186210261652,3.9370457231121914,-2.9467967052271087,-7.807094211456886,27.07863896401365,0.3250097936484538,84.12198407790628,103.24289395569802,-24.295673391078875,-1.4737357488247325,-75.38425939563625,24.954268641937336,-5.387113896095592,1.9387499214568595,-0.5042132930767433,2.3228369819887087,yes,-4.255786228278114,2.131286326395974,-16.531399460146464,-3.3730436400216584,5.804560970743038,5.538392035055777,-6.089421715491383,-55.21685431213587,10.454415973068787,lab07,-1.4803667435333285,active,15.498311386553038,-30.51038258035512,1.0855003219185426,3.8541628609493697,1.3168449584458743,-10.311473551653851,33.81684962905803,24.265883725624136,6.742363037033208,-0.03421554500137578,-5.1088977696438835,1
S,9.904233783149376,42.80295116533325,-103.60375515596168,1.5889408463912935,-25.634998539117298,7.000304748229213,-66.11773342957991,-4.098475865533817,-14.880799203941761,26.935112480530194,-57.16982488566628,0.07654119916510316,12.00180784029489,true,-38.40575207113215,0.3231208138555756,way4,-0.666958232699701,-16.373086370155406,-151.5973862928996,25.20883856458464,11.427349519637758,13.237829788393558,-5.0247755700536,-54.57742288926446,-1.553131902778349,74.63091705312523,-131.9991767330866,-5.16643904385236,6.063843826681044,-2.2795372734989905,-2.7349833486529924,-1.1142828261548878,16.729776569001526,-1.3643218471711878,5.806372869451371,3.171245644468081,-14.694867556869916,36.549895401276224,-0.6013036488033441,-109.73773270931812,186.90323800312302,-4.704533919331386,7.960619433875143,-7.5426061010075065,5.4426783771303695,4.229491707173522,-2.529113203916001,2.699763723507123,3.6630301427643985,yes,-11.241207138528754,9.116815797573421,28.171505152903954,-3.470413103163376,-1.2548377483483664,7.028700608630379,7.269576056150624,83.02052441102208,-21.634620844240153,lab07,17.488076428331592,active,39.22397461715618,-15.725996434931945,-24.453438223415038,64.04619686635499,-0.6259180959351389,3.345220383653965,-5.9038445490893166,-28.538399423670562,-105.90818939802755,-0.6297175163480675,-13.934015110067696,1
S,5.640693765509322,62.255765397472516,-43.16350258152104,-2.0182186982736576,1.5672514791560885,-85.05260340680394,-73.171637429895,-4.45726368331347,-15.558892104831395,25.181571541472742,-12.66297530960059,-0.319778174935442,9.556161795103375,false,-24.055417748550465,1.6079605485714479,way3,-1.2825461016459323,-10.556377169334215,-78.66888094501739,-28.75404887599628,15.368152131014595,24.049611242213587,-1.4669258986039238,2.1787348789903733,-2.258853896788812,-18.9990555790655,-36.93012376770578,3.8775698919477453,-6.630321492133346,11.633555262663998,-24.826888870372457,9.069453702656055,26.870340505655985,-2.3622948077842185,-9.77960005654308,1.1816000765230898,11.408937939495472,17.53578147471692,-0.19067746751039633,-63.885999954459116,24.721455472569215,2.6673808613018037,1.4404472352887998,24.956136787001483,8.06619025444027,2.9354013557529193,-1.4723734675491418,-0.25970493638635556,-10.904696430210747,no,10.25014434944867,-19.74144133824196,-0.48848428701365565,-1.5220718641400415,-22.005382754385906,2.2846102665169026,1.78995801222774,-99.216976344743,-10.669741213160846,lab08,3.1246605230317663,inactive,22.56752905972188,33.68219058826103,4.040002367034175,42.15154308399663,3.1886305946190143,-9.742573851722124,-34.347450985818874,18.111333404517154,93.14814330039674,0.7139618017044908,0.6487629865299027,2
S,-14.70609473496031,6.075887293857759,-64.22960294659678,-0.8064783963061525,-37.00078295396795,-0.938725344626529,-2.631313044642508,-1.3107483383873462,15.055553915587431,5.7149122586216174,19.085766510574103,-0.2652055968933886,20.18279173082792,false,13.413110820048308,0.20045624795897948,way4,-0.10709580832003014,13.688342273932328,-67.77391269289339,0.10807953614200498,-8.398324999340796,-28.33956040867027,-5.259440637879131,32.06501571934463,9.83594332332225,-7.203727934047113,64.6009104727273,3.010078675795919,4.014310390762201,-8.284165591866435,32.636059095153115,10.81761001751516,-21.994879667408572,3.5016958836316006,4.192025663701072,-3.7336614049840278,2.910711531825237,-5.521934550620248,0.39592462058892025,-102.58520421988676,-6.078600334645508,38.22488277083114,2.869029300077405,2.950310301395108,1.969157766830903,24.56549253830287,-2.3642696829374583,0.12013360371204412,3.7486772431799924,no,-2.9614480220325605,14.576140290534802,17.82719405191307,1.267542348240065,1.7086026524434754,-1.7966228267065862,-2.004050183244593,51.53990723458441,-18.6086187323986,lab06,25.137624945811282,active,-15.171366173248122,44.11387680623991,0.9857784180559845,19.070877773306464,-0.3189663543778512,8.047242664452018,7.083006743613459,-12.160758035644744,77.05633195968483,-0.044363461595079305,3.0550920095006764,2
S,10.402066067984574,-5.630809055545909,62.61389577621513,0.6755739457581742,-2.6566189512355245,82.79924158951574,69.97830913841419,-2.4395765385846815,10.4266889316026,-5.7867803116460115,18.127766865141027,-0.08280022465535081,0.24300228377095426,false,7.564913547696681,-0.13050219230492374,way3,-0.19720007917923252,-5.426313544223617,-100.26620223296545,9.41335968815788,-6.167011237265034,5.590271316104776,-0.7298056831085482,29.80764076188604,10.130605577645815,1.9872529761205049,-11.401501070432204,2.2534093639754014,2.1515706160239145,-11.64600157777906,-16.130824891967876,-2.2289732298659306,-13.193876767502921,2.449152538046294,-2.111743335076112,8.322121409906366,0.8924108544020382,-31.524969045539965,0.009562778334726199,153.41359850791426,11.612620251767945,15.384598236889794,3.4976952921023297,-43.36963931284177,17.738302220546366,-12.780142251947659,3.5357059788577896,2.108924578348667,7.296037393658802,yes,-2.112265916460668,15.884114112381566,-16.300526758820613,6.1795243257002195,-3.373474265684314,1.9369689115490245,-7.619467786393576,-31.7821968191789,-2.0658179426191503,lab08,-26.99817525218095,active,-7.61139531146698,23.58466909176422,2.441174945714618,19.89419234571417,1.3246978172543753,-7.75687785543468,-19.857674237881223,46.88351208969196,113.17952116758279,-1.2260993466200831,-10.0719278099664,1
