@relation california
@attribute Longitude real[-124.35,-114.31]
@attribute Latitude real[32.54,41.95]
@attribute HousingMedianAge real[1,52]
@attribute TotalRooms real[2,39320]
@attribute TotalBedrooms real[1,6445]
@attribute Population real[3,35682]
@attribute Households real[1,6082]
@attribute MedianIncome real[0.4999,15.0001]
@attribute MedianHouseValue real[14999,500001] 
@inputs Longitude, Latitude, HousingMedianAge, TotalRooms, TotalBedrooms, Population, Households, MedianIncome
@outputs MedianHouseValue
@data
-117.03,32.78,17,5481,1618,2957,1537,2.5707,171300
-118.23,33.8,26,239,135,165,112,1.3333,187500
-122.46,37.71,39,2076,482,1738,445,3.1958,232100
-122.06,37.94,19,4005,972,1896,893,2.5268,235700
-122.87,38.68,32,4073,718,2053,629,3.7352,228000
-122.47,37.66,18,4172,806,3226,790,5.7535,297900
-122.5,37.77,52,2299,441,1252,415,5.0562,336700
-118.48,34.23,30,1762,263,761,292,6.5268,273100
-117.92,33.83,6,3136,990,1894,859,2.5564,171300
-118,33.91,19,5166,770,2374,753,5.979,285200
-119.77,34.43,22,2552,443,1066,424,5.1271,342500
-121.81,37.99,22,2331,359,1086,340,5.1435,150800
-120.87,37.6,32,4579,914,2742,856,2.6619,86200
-122.36,40.68,28,1745,379,1011,370,2.0391,59800
-116.98,33.83,15,2228,472,653,350,2.683,139300
-118.03,33.76,32,2980,494,1370,481,5.0866,223500
-121.01,37.64,33,693,207,598,192,1.0217,81300
-118.05,33.78,25,3112,435,1098,401,6,353500
-118.48,34.22,22,3430,1214,3618,1092,2.1974,93800
-118.23,34.13,37,1799,426,1088,417,2.975,244500
-121.38,38.47,4,14418,2282,6578,2140,4.5604,145900
-118.21,34.21,41,1676,263,757,255,4.7734,450800
-117.8,34.05,5,4536,1178,2485,909,4.1118,125900
-122.21,40.2,19,3404,731,1421,683,2.6149,84400
-118.04,34.05,32,1252,273,1337,263,2.6579,156800
-121.06,38.88,17,7635,1284,3096,1227,4.2917,184300
-118,34.13,24,2584,520,1869,503,3.2841,167000
-118.18,34.63,19,3562,606,1677,578,4.1573,228100
-121.85,38,26,3364,570,1806,566,4.2647,133400
-117.13,34.06,4,3078,510,1341,486,4.9688,163200
-117.24,32.78,44,2172,431,892,420,4.1742,342200
-117.72,34.07,33,4100,740,2580,730,3.7321,134200
-118.55,33.99,39,2603,456,928,410,7.9096,500001
-117.82,33.64,18,1974,260,808,278,9.8589,500001
-118.26,33.88,36,1212,222,775,224,5.5591,136500
-122.28,37.81,36,2914,562,1236,509,2.4464,102100
-119.77,36.74,51,1454,235,729,252,3.3125,70100
-118.4,34.03,43,1006,201,520,199,6.5669,372800
-119.34,35.6,33,2143,488,1732,509,1.9362,59000
-118.33,34.18,45,1552,315,785,316,3.7411,235500
-122.91,39.06,21,1236,238,601,261,1.939,100300
