@relation california
@attribute Longitude real[-124.35,-114.31]
@attribute Latitude real[32.54,41.95]
@attribute HousingMedianAge real[1,52]
@attribute TotalRooms real[2,39320]
@attribute TotalBedrooms real[1,6445]
@attribute Population real[3,35682]
@attribute Households real[1,6082]
@attribute MedianIncome real[0.4999,15.0001]
@attribute MedianHouseValue real[14999,500001] 
@inputs Longitude, Latitude, HousingMedianAge, TotalRooms, TotalBedrooms, Population, Households, MedianIncome
@outputs MedianHouseValue
@data
-122.31,37.52,24,2328,335,969,354,7.7364,435800
-122.19,37.75,19,2207,565,1481,520,1.3194,81400
-122.46,37.72,45,2399,419,1225,399,4.0855,244100
-117.91,34.09,20,4327,1037,2296,963,3.0441,185400
-118.4,34.02,19,7297,2331,3870,2144,3.116,300000
-118.47,34.42,25,3223,524,1763,508,5.2887,183000
-122.14,37.7,36,1266,228,606,239,3.9702,194100
-118.31,33.96,43,2118,569,1266,500,1.747,121000
-118.13,33.8,36,1496,271,743,265,4.4312,226000
-121.49,38.63,6,12197,2617,5634,2329,3.7449,129300
-121.09,39.48,25,1665,374,845,330,1.5603,78100
-117.89,33.86,28,1395,398,1220,362,3.3008,193800
-118.48,33.43,29,716,214,422,173,2.6042,287500
-118.22,33.99,24,1402,482,1976,466,2.6964,163200
-116.76,33.46,6,1251,268,544,216,3.0694,173400
-117.69,33.48,25,3240,481,1462,497,6.1815,288500
-121.8,37.34,20,2686,414,1507,405,5.8068,263900
-122.69,38.32,15,2536,414,1400,426,5.6613,172400
-116.95,32.81,15,2619,599,1513,537,2.543,100000
-121.51,38.55,46,1485,278,531,291,2.7885,137200
-118.46,34.4,12,25957,4798,10475,4490,4.542,195300
-117.05,32.8,17,1475,308,549,293,3.7167,180400
-122.18,37.79,46,2109,387,922,329,3.9712,208100
-118.41,34.06,43,4994,1057,1830,969,5.5321,500001
-118.18,33.85,38,3596,862,2416,832,3.6897,169800
-119.18,34.16,30,2053,368,1496,391,3.6546,186200
-121.99,37.96,17,2756,423,1228,426,5.5872,200600
-117.08,32.76,20,2547,785,1199,643,1.7743,140300
-118.27,34.16,48,1301,253,637,260,4.3438,252700
-122.25,37.77,43,4329,1110,2086,1053,2.975,243400
-117.89,33.62,24,1016,238,465,236,3.0625,93800
-119.71,36.83,15,2727,500,1228,436,3.5078,109000
-122.07,37.59,13,2578,551,1680,528,4.825,222000
-118.07,34.12,43,1554,287,802,277,4.2312,272600
-121.61,39.52,24,1610,324,909,323,1.8661,59800
-117.07,32.71,26,4151,823,2822,697,2.8372,123400
-122.42,37.8,52,3823,1040,1830,977,4.2458,450000
-118.42,34,33,1139,299,734,257,3.2708,325000
-121.1,38.33,14,1357,247,695,224,4.1974,157800
-122.08,37.3,30,2268,404,1197,372,7.0813,485300
-119.29,36.53,33,1509,352,1734,336,1.625,50300
-121.32,38.7,16,2966,578,1365,480,3.2444,118400
-118.63,34.16,33,2896,455,1116,411,6.0192,347700
-118.34,34.08,52,1430,186,547,178,10.3661,500001
-118.25,34.15,20,3960,1027,1729,978,3.0441,193800
-117.66,33.46,28,1261,233,609,242,5.1024,312700
-118.08,34.09,34,1823,457,1485,401,3.7222,207200
-118.15,33.77,27,3043,787,1398,747,3.5528,271100
-117.87,34.15,37,2655,415,1056,401,5.4224,269500
-117.68,35.55,9,3811,605,1518,568,5.5551,142500
-121.73,36.5,27,3184,520,1121,493,5.6383,377000
-121.99,36.96,42,1275,272,451,200,4.7321,422400
-122.48,37.71,43,3850,1018,1497,829,3.5296,400000
-118.13,33.81,37,1228,237,572,242,4.325,223900
-118.17,34.02,33,346,103,488,107,1.8681,112500
-122.02,38.25,10,2237,454,1255,429,3.1176,126500
-122.2,37.78,39,1752,399,1071,376,3.1167,121600
-117.25,33,14,2518,458,931,414,5.8393,485300
-123.1,38.79,20,3109,712,1643,638,2.8344,164400
-118.12,33.82,43,1544,286,701,298,4.1375,226000
-121.82,38,29,2070,452,985,420,2.8466,113400
-118.16,34.09,52,1722,448,1122,425,3.1204,224000
-117.22,32.86,4,16289,4585,7604,4176,3.6287,280800
-117.18,33.11,16,3470,601,1197,552,5.1814,279900
-121.86,37.21,23,2552,305,916,316,9.1974,500001
