@relation california
@attribute Longitude real[-124.35,-114.31]
@attribute Latitude real[32.54,41.95]
@attribute HousingMedianAge real[1,52]
@attribute TotalRooms real[2,39320]
@attribute TotalBedrooms real[1,6445]
@attribute Population real[3,35682]
@attribute Households real[1,6082]
@attribute MedianIncome real[0.4999,15.0001]
@attribute MedianHouseValue real[14999,500001] 
@inputs Longitude, Latitude, HousingMedianAge, TotalRooms, TotalBedrooms, Population, Households, MedianIncome
@outputs MedianHouseValue
@data
-118.3,34.02,27,2190,626,1768,528,1.2446,103800
-115.84,33.49,20,1660,379,637,250,2.0347,68900
-116.54,33.81,24,6087,1217,1721,833,3.1493,199400
-117.3,34.11,42,525,111,444,120,2.6771,67000
-119.03,35.3,10,829,146,447,173,4.1484,102900
-118.08,34.09,32,3214,718,2316,751,3.7066,206800
-122.31,37.91,43,2549,511,1060,528,3.6417,178400
-122.44,37.8,52,3830,1142,1310,963,3.4801,500001
-122.28,37.86,52,1659,367,788,346,2.8214,164300
-118.3,37.17,22,3480,673,1541,636,2.75,94500
-118.5,34.27,35,2235,390,1148,416,4.869,221600
-117.81,34.11,21,3481,808,1866,746,3.6201,150400
-121.81,38.45,24,1951,341,1140,338,3.7061,128500
-118,33.76,14,1120,319,982,307,2.9083,179200
-121.88,37.35,43,1086,219,715,226,4.2381,193500
-117.37,33.99,44,917,224,666,220,1.685,114200
-122.23,37.79,49,1175,217,859,219,2.293,106300
-118.32,34.17,40,1868,356,799,403,2.9306,279300
-116.99,33.92,26,503,69,293,59,3.7083,147500
-118.45,34.44,16,13406,2574,7030,2440,4.6861,187900
-122.54,37.89,33,4971,836,1907,795,6.1275,424400
-121.87,37.34,39,2479,541,1990,506,2.4306,289100
-118.45,34.22,24,3442,1168,4625,1097,2.0699,183000
-121.41,38.6,16,5407,1467,2523,1265,2.0471,104200
-117.68,33.6,19,3913,460,1646,454,7.2147,303900
-117.43,33.93,36,2386,396,1176,374,4.5122,113300
-118.31,33.8,29,2795,572,1469,557,3.7167,308900
-118.03,33.79,26,5321,889,2932,896,5.8914,237600
-121.27,37.98,43,1005,200,492,172,2.6812,72800
-117.69,34.08,30,4255,773,2129,730,4.5185,142500
-121.76,36.91,23,1276,437,1359,376,1.9609,155000
-120.65,35.29,36,1940,315,850,298,3.1818,249600
-119.3,34.27,17,1527,503,688,423,1.6007,187500
-122.27,37.8,16,994,392,800,362,2.0938,162500
-118.96,35.38,41,2417,435,973,406,3.0568,85600
-118.17,34.06,44,1856,461,1853,452,2.5033,131900
-118.36,33.94,38,2169,688,3036,639,2.3125,148500
-117.09,32.63,33,620,161,420,164,1.8417,150000
-119.56,36.71,37,1609,374,1173,344,2.181,59900
-122.05,37.61,16,1642,346,705,351,2.8971,163900
-121.95,37.32,20,1145,198,431,173,3.1103,281900
-117.72,33.99,14,5622,861,3108,821,5.7763,206700
-118.55,34.21,35,2592,490,1427,434,5.0623,246400
-118.3,33.74,28,1065,215,887,217,3.9375,270500
-117.21,32.87,12,1428,303,528,269,4.1429,254400
-117.97,34.09,27,3569,761,3339,762,4.1304,160500
-117.29,33.06,20,2110,335,1008,325,6.1509,338700
-122.42,37.74,52,1540,370,1136,363,4.3125,243000
-117.13,32.77,30,2582,650,1098,603,2.8281,171700
-121.31,37.99,23,3135,707,1650,680,1.886,105300
-122.3,37.52,32,2297,347,871,342,8.1039,382200
-120.04,36.96,23,2126,506,2091,491,1.3713,51800
-122.44,37.79,52,1979,359,648,370,5.3124,500001
-118.15,34.59,33,2111,429,1067,397,3.7344,111400
-122.24,37.77,43,955,284,585,266,2.3882,162500
-116.98,32.75,25,4137,662,1905,630,4.375,214000
-122.42,37.78,17,1257,339,1093,384,1.8438,72500
-118.26,33.91,33,954,241,655,218,2.5882,92800
-118.42,34.05,52,2533,402,981,386,7.8164,500001
-117.27,32.99,21,3318,578,1273,538,5.5922,382100
-121.79,37.99,18,3646,534,1651,535,5.7321,164700
-122.41,37.76,52,2064,496,1726,466,3.4028,233300
-116.99,32.7,15,3660,622,2629,612,4.0444,150100
-122.69,38.94,9,1245,234,517,187,3.125,93400
-121.86,37.7,13,9621,1344,4389,1391,6.6827,313700
-118.54,34.21,32,2593,566,1596,547,3.9886,199200
-117.93,33.68,33,2664,432,1197,429,5.069,264200
-117.91,33.72,32,2436,504,2839,516,4.5607,182100
-117.25,34.13,33,2898,503,1374,487,3.6856,90000
-122.42,37.73,52,3230,654,1765,611,3.3333,292300
-122.63,38.21,22,2933,461,1283,449,6.2034,291100
-118.22,33.91,28,1847,500,2263,473,1.5161,103200
-121.22,38.68,10,6262,1278,2954,1169,3.4506,139000
-117.07,32.69,28,1485,275,820,283,4.069,153300
-117.27,34.45,8,6463,1095,3213,1031,3.2215,108800
-117.17,34.28,13,4867,718,780,250,7.1997,253800
-122.16,37.45,47,4234,1156,1808,1093,4.2297,425000
-119.28,36.52,19,1402,324,1327,316,2.25,53200
-117.04,32.68,11,1875,357,1014,386,4.375,115000
-122.24,37.85,52,3726,474,1366,496,9.3959,500001
-118.36,34.19,46,1676,322,846,295,5.1814,209500
-121.96,38.54,6,1485,318,894,308,3.2222,139600
-117.87,34.13,29,1677,413,873,400,3.12,194300
-117.66,34.07,36,2072,408,964,395,2.8702,137000
-118.12,33.81,36,2565,458,1155,443,4.6087,224600
-118.2,34.02,42,498,120,548,119,3.7543,126600
-122.06,37.63,23,1939,356,841,364,3.3611,169200
-118.04,34.04,35,1734,363,1527,344,3,160600
-119.93,35.2,29,1649,342,671,264,3.0602,69800
-120.37,37.98,29,2508,591,1112,550,1.6021,91400
-122.13,37.68,45,2457,445,1129,422,4.0588,182800
-118.63,34.24,9,4759,924,1884,915,4.8333,277200
-121.03,37.68,27,1956,327,1004,307,3.7857,110500
-118.4,34.17,27,3588,911,1891,871,3.4013,286000
-122.41,37.76,52,3452,784,2987,753,2.8135,260300
-121.92,36.55,44,3494,635,693,415,3.6,452800
-117.08,32.64,11,1651,533,947,515,1.6806,141700
-119.84,36.8,16,2849,506,1508,478,3.4074,72700
-119.82,36.83,16,2868,376,1016,379,6.1175,144700
-118,33.89,35,1065,176,574,171,5.0384,200800
-118.16,33.94,25,5675,1224,3317,1119,3.9352,232900
-117.06,32.97,17,4754,877,2412,832,4.3548,192300
-119.72,36.75,11,4832,993,2190,888,2.6611,74700
-121.89,36.59,32,784,112,262,114,6.918,500001
-118.69,34.08,23,204,40,117,41,9.7646,500001
-120.99,37.67,16,568,124,307,116,2.1518,107400
-118.27,34,48,1869,461,1834,441,1.7052,107400
-117.76,33.72,11,4508,618,1993,573,10.4498,386100
-118.27,33.84,24,6303,1277,3728,1252,3.9227,208600
-118.25,34.23,41,1979,496,1157,459,4.4083,217700
-118.3,34.19,51,1502,243,586,231,4.375,332400
-122.18,37.44,44,2237,347,948,346,8.2436,500001
-121.22,38.71,23,1843,273,818,276,4.4695,214700
-122.25,37.82,26,3959,1196,1749,1217,3.0233,255000
-118.31,34.08,23,1443,521,1264,450,2.7543,220000
-118.15,33.78,12,4436,1133,2176,1002,3.5812,198600
-119.64,37.61,30,2857,661,291,135,2.6838,164600
-118.36,33.86,36,681,122,360,128,5.2799,332600
-121.43,38.64,34,2010,411,1501,422,2.0417,65900
-119.29,36.33,19,792,232,641,222,0.7445,112500
-118.98,36.06,33,2043,443,1497,417,2.343,47400
-122.28,38.32,12,4609,1005,2293,960,3.4543,194500
-118.31,33.88,21,1490,430,686,400,2.3812,237500
-122.02,37.29,25,3845,492,1461,475,10.3979,500001
-122.69,38.34,16,1683,341,880,327,3.2857,160200
-117.26,33.08,12,5080,814,1958,716,5.3905,299600
-117.22,33.81,4,9911,1946,5145,1661,3.4237,113700
-122.41,37.79,52,2161,544,904,431,3.5066,350000
-122.25,37.87,52,609,236,1349,250,1.1696,500001
-118.35,34.08,52,2088,388,908,375,3.8141,342000
-122.59,38.78,15,764,145,366,143,3.375,103100
-118.02,34.13,33,2874,458,1239,431,5.2329,430900
-121.84,37.35,20,3375,867,4610,860,2.6894,182200
-118.15,33.97,32,927,250,970,248,2.1591,181500
-117.22,34.11,26,2972,603,1972,532,2.0388,80400
-118.02,34.12,37,2250,360,989,329,6.1536,366000
-118,33.82,24,3002,644,1495,634,3.1087,202800
-120.02,38.76,15,3142,618,725,285,4.3333,121400
-121.99,36.98,25,2113,422,1365,439,4.6484,234600
