@relation california
@attribute Longitude real[-124.35,-114.31]
@attribute Latitude real[32.54,41.95]
@attribute HousingMedianAge real[1,52]
@attribute TotalRooms real[2,39320]
@attribute TotalBedrooms real[1,6445]
@attribute Population real[3,35682]
@attribute Households real[1,6082]
@attribute MedianIncome real[0.4999,15.0001]
@attribute MedianHouseValue real[14999,500001] 
@inputs Longitude, Latitude, HousingMedianAge, TotalRooms, TotalBedrooms, Population, Households, MedianIncome
@outputs MedianHouseValue
@data
-122.23,38.14,36,1412,260,792,268,2.3056,90400
-122.14,37.74,52,1071,201,440,192,4.0662,204200
-117.7,34.08,33,4674,791,2769,784,4.1448,137300
-117.99,33.71,17,1600,458,1803,432,2.7865,216700
-122.48,37.75,49,2203,407,1052,405,4.4375,329200
-118.09,34.16,45,2199,358,942,353,5.0393,321100
-118.19,34.77,16,2035,370,704,330,2.1979,146400
-118.2,34.03,37,1583,392,1776,377,2.7266,140800
-118.14,33.92,35,2378,559,1799,546,3.9327,190500
-118.1,33.99,31,965,217,599,206,2.7202,190300
-122.24,37.48,40,4459,1027,2080,982,3.5322,361900
-120.04,36.74,14,3182,730,2298,721,1.6168,71800
-122.13,37.46,35,1321,300,1133,287,3.7312,159600
-121.44,38.71,25,2336,406,1172,408,3.5129,101200
-122.16,37.76,36,2781,574,1438,519,2.4598,155500
-118.03,34.15,43,1694,283,674,267,4.1797,486800
-115.62,33.04,20,1121,244,766,230,2.2969,62000
-120.41,38.33,17,1463,338,529,226,3.024,100900
-121.39,36.16,28,1057,249,288,130,3.0526,146900
-121.94,37.3,30,1758,248,814,256,6.623,332500
-117.85,34.11,27,1748,403,985,416,3.1133,180600
-119.17,34.27,24,4165,646,2194,658,6.0661,234800
-116.39,34.15,15,5583,1149,2709,964,1.9779,73300
-117.89,33.7,13,1857,572,838,525,3.2386,129200
-122.23,37.79,30,610,145,425,140,1.6198,122700
-121.9,37.26,20,4447,661,2062,660,6.8088,283300
-121.32,38.57,15,3369,499,1733,470,5.31,127500
-118.28,33.97,38,1819,497,2110,499,1.6027,97300
